note,book,page,figure,ticker,yahoo_symbol,date_range,confidence,download_status,tags,concepts,note_path,chart,csv
Trade Like a Stock Market Wizard - Figure 4-1 - AIG - page 57,Trade Like a Stock Market Wizard,57,4.1,AIG,AIG,1999-2000,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-1 - AIG - page 57.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-4-1-aig-page-57_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-4-1-aig-page-57_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 4-2 - YHOO - page 60,Trade Like a Stock Market Wizard,60,4.2,YHOO,YHOO,1997-1999,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-2 - YHOO - page 60.md,,
Trade Like a Stock Market Wizard - Figure 4-3 - TASR - page 61,Trade Like a Stock Market Wizard,61,4.3,TASR,TASR,2004-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-3 - TASR - page 61.md,,
Trade Like a Stock Market Wizard - Figure 4-4 - TASR - page 62,Trade Like a Stock Market Wizard,62,4.4,TASR,TASR,2004-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-4 - TASR - page 62.md,,
Trade Like a Stock Market Wizard - Figure 4-5 - CKR - page 63,Trade Like a Stock Market Wizard,63,4.5,CKR,CKR,1995-1995,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-5 - CKR - page 63.md,,
Trade Like a Stock Market Wizard - Figure 4-6 - CKR - page 63,Trade Like a Stock Market Wizard,63,4.6,CKR,CKR,1995-1998,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-6 - CKR - page 63.md,,
Trade Like a Stock Market Wizard - Figure 4-7 - APOL - page 65,Trade Like a Stock Market Wizard,65,4.7,APOL,APOL,1999-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-7 - APOL - page 65.md,,
Trade Like a Stock Market Wizard - Figure 4-8 - CROX - page 66,Trade Like a Stock Market Wizard,66,4.8,CROX,CROX,2006-2008,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-8 - CROX - page 66.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-4-8-crox-page-66_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-4-8-crox-page-66_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 4-9 - CKR - page 70,Trade Like a Stock Market Wizard,70,4.9,CKR,CKR,1995-2000,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-9 - CKR - page 70.md,,
Trade Like a Stock Market Wizard - Figure 4-10 - manual-review - page 73,Trade Like a Stock Market Wizard,73,4.10,,,1994-2009,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-10 - manual-review - page 73.md,,
