note,book,page,page_kind,image_count,drawing_count,word_count,likely_visual,tags,concepts,linked_stock_figures,note_path,image_path
Trade Like a Stock Market Wizard - Page Image 001,Trade Like a Stock Market Wizard,1,visual-page,1,0,0,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 001.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_001.png
Trade Like a Stock Market Wizard - Page Image 002,Trade Like a Stock Market Wizard,2,visual-page,0,16,6,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 002.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_002.png
Trade Like a Stock Market Wizard - Page Image 003,Trade Like a Stock Market Wizard,3,text-context-page,0,0,5,True,text-or-context-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 003.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_003.png
Trade Like a Stock Market Wizard - Page Image 004,Trade Like a Stock Market Wizard,4,visual-page,0,36,36,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 004.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_004.png
Trade Like a Stock Market Wizard - Page Image 005,Trade Like a Stock Market Wizard,5,visual-page,0,20,547,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 005.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_005.png
Trade Like a Stock Market Wizard - Page Image 006,Trade Like a Stock Market Wizard,6,visual-page,0,16,65,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 006.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_006.png
Trade Like a Stock Market Wizard - Page Image 007,Trade Like a Stock Market Wizard,7,text-context-page,0,0,5,True,text-or-context-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 007.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_007.png
Trade Like a Stock Market Wizard - Page Image 008,Trade Like a Stock Market Wizard,8,visual-page,0,26,143,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 008.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_008.png
Trade Like a Stock Market Wizard - Page Image 009,Trade Like a Stock Market Wizard,9,visual-page,0,21,68,True,risk-first; visual-concept-page,Mental Discipline; Risk First,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 009.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_009.png
Trade Like a Stock Market Wizard - Page Image 010,Trade Like a Stock Market Wizard,10,visual-page,0,16,315,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 010.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_010.png
Trade Like a Stock Market Wizard - Page Image 011,Trade Like a Stock Market Wizard,11,visual-page,0,18,308,True,mental-discipline; risk-first; sell-or-failure; visual-concept-page,Mental Discipline; Risk First; Sell Rules and Failure Signals,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 011.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_011.png
Trade Like a Stock Market Wizard - Page Image 012,Trade Like a Stock Market Wizard,12,visual-page,0,16,157,True,risk-first; visual-concept-page,Mental Discipline; Risk First,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 012.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_012.png
Trade Like a Stock Market Wizard - Page Image 013,Trade Like a Stock Market Wizard,13,text-context-page,0,0,5,True,text-or-context-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 013.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_013.png
Trade Like a Stock Market Wizard - Page Image 014,Trade Like a Stock Market Wizard,14,visual-page,0,16,6,True,visual-concept-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 014.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_014.png
Trade Like a Stock Market Wizard - Page Image 015,Trade Like a Stock Market Wizard,15,text-context-page,0,0,5,True,text-or-context-page,Mental Discipline,0,Book Page Images/Trade Like a Stock Market Wizard - Page Image 015.md,assets/book_pages_private/trade-like-a-stock-market-wizard/page_015.png
